시설물명,위도,경도,과속방지턱,도로적색표면,무단횡단방지펜스,보호구역표지판,신호등,옐로카펫,횡단보도,보호구역 도로폭,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,행정동,총인구수,0~4세,5~9세,10~14세,어린이인구_0_14,어린이비율,도로안전표지,생활안전CCTV,무인교통단속카메라,시설유형,구
하안남초등학교,37.461014207,126.885382868,1,3,5,0,23,2,7,21,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,초등학교,광명시
예솔유치원,37.456700229,126.87841054,10,8,17,0,16,0,12,4,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,유치원,광명시
구름산유치원,37.455660136,126.882185903,9,6,21,0,22,0,22,5,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,유치원,광명시
가림초등학교,37.458199404,126.880148027,12,8,19,0,16,0,13,6,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,초등학교,광명시
연서초등학교,37.466263613,126.880934844,9,6,11,0,20,0,10,9,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,초등학교,광명시
파랑새유치원,37.461323282,126.881383058,10,2,5,0,10,1,7,6,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,유치원,광명시
구름산초등학교,37.453765538,126.88443634,6,10,23,0,41,3,21,8,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,초등학교,광명시
소하초등학교,37.447116781,126.888053937,13,16,19,0,93,0,32,15,0,0,0,0,0,0,소하동,54145.0,1089.0,1725.0,2722.0,5536.0,10.224397451288208,0,0,0,초등학교,광명시
홍익어린이집,37.474168784,126.864568531,9,10,15,0,40,0,17,9,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,어린이집,광명시
마리아어린이집,37.471790925,126.865684408,13,19,40,0,77,1,32,10,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,어린이집,광명시
광덕초등학교,37.472941774,126.867567576,8,15,32,0,69,1,26,28,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,초등학교,광명시
안현초등학교,37.470454112,126.868184636,10,17,41,0,60,1,25,20,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,초등학교,광명시
구름산어린이집,37.468178692,126.865305483,16,12,21,0,17,0,17,10,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,어린이집,광명시
하안북초등학교,37.465514167,126.867288614,10,11,18,0,25,0,13,15,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,초등학교,광명시
가림유치원,37.463910106,126.868203087,8,9,15,0,19,0,12,24,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,유치원,광명시
하안초등학교,37.463744031,126.874382633,10,5,12,0,8,0,5,7,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,초등학교,광명시
예원유치원,37.461271246,126.877311964,5,4,8,0,4,0,1,36,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,유치원,광명시
예지유치원,37.490201801,126.867907656,8,5,8,0,13,0,12,8,2,2,1,0,1,1,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,유치원,광명시
예지유치원,37.490201801,126.867907656,8,5,8,0,13,0,12,8,2,2,1,0,1,1,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,유치원,광명시
광명북초등학교,37.487367731,126.868000893,10,7,14,0,17,0,11,8,2,2,1,0,1,1,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,초등학교,광명시
광명북초등학교,37.487367731,126.868000893,10,7,14,0,17,0,11,8,2,2,1,0,1,1,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,초등학교,광명시
삼흥유치원,37.477651417,126.868859296,4,3,2,0,0,1,1,8,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,유치원,광명시
혜성유치원,37.46683873,126.879237896,11,7,15,0,22,0,12,10,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,유치원,광명시
철산초등학교,37.46984647,126.873334063,7,12,34,0,53,1,18,14,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,초등학교,광명시
하일초등학교,37.469301665,126.876139495,6,11,20,0,43,1,16,11,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,초등학교,광명시
한마음유치원,37.467165937,126.875826468,8,10,28,0,40,1,15,11,0,0,0,0,0,0,하안동,66369.0,1590.0,1990.0,2818.0,6398.0,9.640042791062092,0,0,0,유치원,광명시
광성초등학교,37.477602811,126.872541416,7,7,6,0,12,4,6,8,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,초등학교,광명시
광명동초등학교,37.483389861,126.863980047,11,4,9,0,1,0,3,12,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,초등학교,광명시
철산어린이집,37.482189184,126.862267533,10,4,9,0,1,0,3,9,0,0,0,0,0,0,철산동,69508.0,2254.0,2787.0,3666.0,8707.0,12.52661564136502,0,0,0,어린이집,광명시
